=== MEDIAS APOS 10 ITERACOES ===
Acuracia media : 0.9640
Precisao media : 0.9403
Revocacao media: 0.9438
F1-Score medio : 0.9385

=== MEDIA DAS METRICAS POR CLASSE (10 iteracoes) ===
========== Dimensao das imagens: 256 x 256 ==========
=============== Com Data Augmentation no Treino ==============
Classe  | Precisao  | Revocacao | F1-Score  | Suporte  
0       | 1.00      | 0.99      | 0.99      | 650      
1       | 0.95      | 0.97      | 0.96      | 200      
2       | 0.89      | 0.96      | 0.92      | 70       
3       | 0.97      | 0.96      | 0.96      | 300      
4       | 0.98      | 0.95      | 0.96      | 330      
5       | 0.91      | 0.89      | 0.89      | 80       
6       | 0.97      | 0.97      | 0.97      | 60       
7       | 1.00      | 1.00      | 1.00      | 130      
8       | 0.60      | 0.60      | 0.57      | 20       
9       | 0.97      | 0.97      | 0.97      | 730      
10      | 0.95      | 0.93      | 0.93      | 70       
11      | 0.99      | 1.00      | 1.00      | 190      
12      | 0.85      | 0.91      | 0.88      | 190      
13      | 1.00      | 1.00      | 1.00      | 100      
14      | 0.97      | 0.98      | 0.97      | 740      
15      | 0.95      | 0.98      | 0.97      | 410      
16      | 0.99      | 0.96      | 0.97      | 440      
17      | 0.96      | 0.94      | 0.95      | 70       
18      | 0.95      | 0.98      | 0.97      | 250      
19      | 0.77      | 0.90      | 0.81      | 40       
20      | 0.99      | 0.94      | 0.96      | 160      
21      | 0.96      | 0.96      | 0.96      | 170      
22      | 0.96      | 0.88      | 0.92      | 240      
23      | 1.00      | 1.00      | 1.00      | 210      
24      | 0.98      | 1.00      | 0.99      | 100      
